"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",,,,,,,,,,,,,,,,,,
See the book for description of data.,,,,"Update Nominal Home Price Index, Click Additional Information, National Index: https://us.spindices.com/index-family/real-estate/sp-corelogic-case-shiller",,,,,,,,,,,,,,
"Monthly data from January 1953 for prices, all other data are annual.",,,,,,,,Nominal,,,,,,,,,,
,Real,,Real,,,,,Home,,,Nominal,,,Consumer,,,,
,Home,,Building,U.S.,,,,Price,HPI,,Building,,,Price,CPI Annual&,,,
,Price,,Cost,Population,,Long Rate,,Index,Source,,Cost,Build Cost,,Index,Quarterly,,,CPI
Date,Index,Date,Index,Millions,Long Rate,Source,Date,From fig2.1Revised2011.xls,,Date,Index,Source,Date,,,,Date,Annual
1954.791667,115.5763387,1974,97.09327155,213.898,6.99,Fed. Res.,1954.791667,14.4758764,PHCPI,1974,,ENR,1954.791667,26.80,BLS,,1974,46.6
1954.875,115.5763387,1975,94.12250092,215.981,7.5,Fed. Res.,1954.875,14.4758764,PHCPI,1975,,ENR,1954.875,26.80,BLS,,1975,52.1
1954.958333,116.1419425,1976,96.23389798,218.086,7.74,Fed. Res.,1954.958333,14.49243918,PHCPI,1976,,ENR,1954.958333,26.70,BLS,,1976,55.6
1955.041667,116.2746762,1977,99.16550373,220.289,7.21,Fed. Res.,1955.041667,14.50900197,PHCPI,1977,,ENR,1955.041667,26.70,BLS,,1977,58.5
1955.125,115.8764752,1978,100.56884,222.629,7.96,Fed. Res.,1955.125,14.45931361,PHCPI,1978,,ENR,1955.125,26.70,BLS,,1978,62.5
1955.208333,115.6110079,1979,100,225.106,9.1,Fed. Res.,1955.208333,14.42618803,PHCPI,1979,,ENR,1955.208333,26.70,BLS,,1979,68.3
1955.291667,114.9473397,1980,93.67720901,227.726,10.8,Fed. Res.,1955.291667,14.3433741,PHCPI,1980,,ENR,1955.291667,26.70,BLS,,1980,77.8
1955.375,114.9473397,1981,90.5038767,230.008,12.57,Fed. Res.,1955.375,14.3433741,PHCPI,1981,,ENR,1955.375,26.70,BLS,,1981,87
1955.458333,115.4782743,1982,88.95277083,232.218,14.59,Fed. Res.,1955.458333,14.40962525,PHCPI,1982,,ENR,1955.458333,26.70,BLS,,1982,94.3
1955.541667,115.4441003,1983,91.52830102,234.333,10.46,Fed. Res.,1955.541667,14.45931361,PHCPI,1983,,ENR,1955.541667,26.80,BLS,,1983,97.8
1955.625,116.1052922,1984,89.06159549,236.394,11.67,Fed. Res.,1955.625,14.54212755,PHCPI,1984,,ENR,1955.625,26.80,BLS,,1984,101.9
1955.708333,115.9371675,1985,86.30725178,238.506,11.38,Fed. Res.,1955.708333,14.57525312,PHCPI,1985,,ENR,1955.708333,26.90,BLS,,1985,105.5
1955.791667,115.8054208,1986,85.06563926,240.683,9.19,Fed. Res.,1955.791667,14.55869034,PHCPI,1986,,ENR,1955.791667,26.90,BLS,,1986,109.6
1955.875,115.5419272,1987,85.80011747,242.843,7.08,Fed. Res.,1955.875,14.52556476,PHCPI,1987,,ENR,1955.875,26.90,BLS,,1987,111.2
1955.958333,115.708577,1988,84.31285438,245.061,8.67,Fed. Res.,1955.958333,14.49243918,PHCPI,1988,,ENR,1955.958333,26.80,BLS,,1988,115.7
1956.041667,115.4441003,1989,81.66945023,247.387,9.09,Fed. Res.,1956.041667,14.45931361,PHCPI,1989,,ENR,1956.041667,26.80,BLS,,1989,121.1
1956.125,115.0473852,1990,79.63498843,250.181,8.21,Fed. Res.,1956.125,14.40962525,PHCPI,1990,,ENR,1956.125,26.80,BLS,,1990,127.4
1956.208333,114.6506701,1991,76.74207454,253.53,8.09,Fed. Res.,1956.208333,14.35993688,PHCPI,1991,,ENR,1956.208333,26.80,BLS,,1991,134.6
1956.291667,113.6974723,1992,77.05381963,256.922,7.03,Fed. Res.,1956.291667,14.29368573,PHCPI,1992,,ENR,1956.291667,26.90,BLS,,1992,138.1
