"president","date","approve","disapprove"
"Trump",2018-08-31,40,52
"Trump",2018-09-01,42,52
"Trump",2018-08-31,47,53
"Trump",2018-09-02,43,54
"Trump",2018-09-02,38.9,54.9
"Trump",2018-09-01,39,53
"Trump",2018-09-03,38,53
"Trump",2018-09-03,39.3,54.9
"Trump",2018-09-03,44,54
"Trump",2018-09-02,41,51
"Trump",2018-09-04,39.9,54
"Trump",2018-09-04,46,53
"Trump",2018-09-03,40,51
"Trump",2018-09-05,48,52
"Trump",2018-09-05,40.4,53.3
"Trump",2018-09-04,41,52
"Trump",2018-09-06,40.3,53.6
"Trump",2018-09-06,44,54
"Trump",2018-09-06,40,54
"Trump",2018-09-06,48,52
"Trump",2018-09-06,42,55
"Trump",2018-09-05,42,49
"Trump",2018-09-07,40.2,53.5
"Trump",2018-09-07,39,52
"Trump",2018-09-06,37,55
"Trump",2018-09-06,40,53
"Trump",2018-09-07,39,59
"Trump",2018-09-07,48,51
"Trump",2018-09-08,38,54
"Trump",2018-09-08,39,51
"Trump",2018-09-08,36,58
"Trump",2018-09-08,40,54.1
"Trump",2018-09-07,39,57
"Trump",2018-09-08,47,51
"Trump",2018-09-08,41,56
"Trump",2018-09-09,43,55
"Trump",2018-09-08,39,53
"Trump",2018-09-09,40.7,54.2
"Trump",2018-09-10,40,54.9
"Trump",2018-09-10,42,48
"Trump",2018-09-10,45,53
"Trump",2018-09-09,37,55
"Trump",2018-09-11,40.7,54.8
"Trump",2018-09-11,46,52
"Trump",2018-09-10,38,54
"Trump",2018-09-12,47,51
"Trump",2018-09-12,40.5,55
"Trump",2018-09-11,39,51
"Trump",2018-09-11,47,53
"Trump",2018-09-12,38,52
"Trump",2018-09-12,43,56
"Trump",2018-09-13,38,56
"Trump",2018-09-13,42,53.7
"Trump",2018-09-14,49,50
"Trump",2018-09-14,39,53
"Trump",2018-09-14,41.9,54.2
"Trump",2018-09-15,48,51
"Trump",2018-09-15,42.3,53.7
"Trump",2018-09-15,42,53
"Trump",2018-09-14,39,51
"Trump",2018-09-16,42.5,53.4
"Trump",2018-09-15,41,51
"Trump",2018-09-16,41,55
"Trump",2018-09-16,44,54
"Trump",2018-09-16,42,51
"Trump",2018-09-17,47,52
"Trump",2018-09-17,41,50
"Trump",2018-09-17,42.9,52.9
"Trump",2018-09-18,48,50
"Trump",2018-09-18,42.8,52.1
"Trump",2018-09-17,46,54
"Trump",2018-09-18,44,52
"Trump",2018-09-17,42,50
"Trump",2018-09-18,44,52
"Trump",2018-09-18,43,52
"Trump",2018-09-19,49,50
"Trump",2018-09-19,42.5,52.5
"Trump",2018-09-19,37,59
"Trump",2018-09-18,41,51
"Trump",2018-09-18,47,53
"Trump",2018-09-20,40,56
"Trump",2018-09-20,41.6,52.8
"Trump",2018-09-20,41,53
"Trump",2018-09-21,49,50
"Trump",2018-09-21,38,55
"Trump",2018-09-20,41,49
"Trump",2018-09-21,42.1,52.2
"Trump",2018-09-21,46,52
"Trump",2018-09-22,39,54
"Trump",2018-09-22,41.1,53
"Trump",2018-09-22,47,50
"Trump",2018-09-22,40,54
"Trump",2018-09-21,39,52
"Trump",2018-09-22,37,53
"Trump",2018-09-23,44,54
"Trump",2018-09-23,41.6,51.9
"Trump",2018-09-23,42,49
"Trump",2018-09-24,40,50
"Trump",2018-09-23,40,53
"Trump",2018-09-24,41,58
"Trump",2018-09-24,42,51.6
"Trump",2018-09-24,47,51
"Trump",2018-09-25,41.7,52.3
"Trump",2018-09-25,47,52
"Trump",2018-09-24,41,51
"Trump",2018-09-26,47,51
"Trump",2018-09-25,40,54
"Trump",2018-09-26,40.9,53.4
"Trump",2018-09-25,47,53
"Trump",2018-09-26,44,50
"Trump",2018-09-27,40.7,53.5
"Trump",2018-09-27,42,53
"Trump",2018-09-26,46,54
"Trump",2018-09-26,42,50
"Trump",2018-09-28,48,50
"Trump",2018-09-27,39,49
"Trump",2018-09-28,40.3,53.8
"Trump",2018-09-29,43,51
"Trump",2018-09-28,42,51
"Trump",2018-09-29,39.9,54.2
"Trump",2018-09-29,48,50
"Trump",2018-09-29,41,53
"Trump",2018-09-28,43,53
"Trump",2018-09-29,46,52
"Trump",2018-09-29,45,55
"Trump",2018-09-29,38,54
"Trump",2018-09-29,44,52
"Trump",2018-09-30,47,51
"Trump",2018-09-30,38.3,54.9
"Trump",2018-09-30,40,54
"Trump",2018-10-01,37,52
"Trump",2018-09-30,39,52
"Trump",2018-10-01,38.1,55.2
"Trump",2018-10-01,49,50
"Trump",2018-10-01,41,53
"Trump",2018-09-30,38,61
"Trump",2018-10-01,41,52
"Trump",2018-10-02,49,51
"Trump",2018-10-02,50,49
"Trump",2018-10-01,45,55
"Trump",2018-10-02,37.7,55.3
"Trump",2018-10-03,42.7,50.1
"Trump",2018-10-03,51,48
"Trump",2018-10-03,37.8,55.1
"Trump",2018-10-02,42,49
"Trump",2018-10-04,48,50
"Trump",2018-10-04,38.4,55.2
"Trump",2018-10-04,43,53
"Trump",2018-10-03,47,51
"Trump",2018-10-03,40,50
"Trump",2018-10-05,51,47
"Trump",2018-10-05,41,52
"Trump",2018-10-05,38.8,54.6
"Trump",2018-10-05,40,53
"Trump",2018-10-06,38.5,54.9
"Trump",2018-10-06,41,52
"Trump",2018-10-06,51,47
"Trump",2018-10-06,41,49
"Trump",2018-10-06,43,52
"Trump",2018-10-06,42,53
"Trump",2018-10-07,41,56
"Trump",2018-10-07,47,51
"Trump",2018-10-07,40.7,54.1
"Trump",2018-10-07,38,54
"Trump",2018-10-08,40,50
"Trump",2018-10-08,40.7,53.7
"Trump",2018-10-08,49,49
"Trump",2018-10-09,41,52
"Trump",2018-10-09,42,52.7
"Trump",2018-10-09,49,50
"Trump",2018-10-10,41,54
"Trump",2018-10-09,46,54
"Trump",2018-10-10,42.5,51.7
"Trump",2018-10-10,49,50
"Trump",2018-10-10,41,51
"Trump",2018-10-10,41,50
"Trump",2018-10-11,44,51
"Trump",2018-10-11,42.9,51
"Trump",2018-10-12,51,49
"Trump",2018-10-12,42.6,51.3
"Trump",2018-10-13,51,48
"Trump",2018-10-13,42.1,51.9
"Trump",2018-10-13,44,51
"Trump",2018-10-12,40,51
"Trump",2018-10-13,44,50
"Trump",2018-10-13,40,59
"Trump",2018-10-13,41,54
"Trump",2018-10-14,43.7,50.6
"Trump",2018-10-14,39,54
"Trump",2018-10-14,42.2,49.5
"Trump",2018-10-14,45,52
"Trump",2018-10-14,36,56
"Trump",2018-10-15,49,50
"Trump",2018-10-15,41,48
"Trump",2018-10-15,42.1,52.4
"Trump",2018-10-14,40,51
"Trump",2018-10-15,47,51
"Trump",2018-10-16,39,53
"Trump",2018-10-16,39.7,53.5
"Trump",2018-10-15,41,51
"Trump",2018-10-16,47,52
"Trump",2018-10-16,47,52
"Trump",2018-10-16,47,49
"Trump",2018-10-17,47,52
"Trump",2018-10-16,47,53
"Trump",2018-10-16,46,54
"Trump",2018-10-16,43,51
"Trump",2018-10-17,40.4,53.2
"Trump",2018-10-18,47,51
"Trump",2018-10-18,41.1,52.2
"Trump",2018-10-18,44,50
"Trump",2018-10-18,39,51
"Trump",2018-10-19,40,54
"Trump",2018-10-19,47,52
"Trump",2018-10-19,42,55
"Trump",2018-10-19,41.3,52.4
"Trump",2018-10-18,44,51
"Trump",2018-10-20,41,52.4
"Trump",2018-10-20,43,54.4
"Trump",2018-10-20,48,51
"Trump",2018-10-19,48,50
"Trump",2018-10-20,42,49
"Trump",2018-10-20,41,52
"Trump",2018-10-21,43,53
"Trump",2018-10-21,46,52
"Trump",2018-10-21,40.7,52.9
"Trump",2018-10-22,41.1,52.5
"Trump",2018-10-22,42,50
"Trump",2018-10-22,46,52
"Trump",2018-10-22,39,53
"Trump",2018-10-21,41,51
"Trump",2018-10-21,47,52
"Trump",2018-10-23,42.9,51.8
"Trump",2018-10-23,47,51
"Trump",2018-10-22,41,50
"Trump",2018-10-24,43.2,51.3
"Trump",2018-10-24,41,57
"Trump",2018-10-24,48,51
"Trump",2018-10-23,41,53
"Trump",2018-10-23,47,53
"Trump",2018-10-25,40,54
"Trump",2018-10-25,43,55
"Trump",2018-10-25,42.6,52.2
"Trump",2018-10-25,41,51
"Trump",2018-10-25,41,52
"Trump",2018-10-26,41.1,53.3
"Trump",2018-10-26,50,49
"Trump",2018-10-25,42,52
"Trump",2018-10-27,40.9,53.2
"Trump",2018-10-27,48,51
"Trump",2018-10-27,41,51
"Trump",2018-10-27,44,56
"Trump",2018-10-28,42.2,52.2
"Trump",2018-10-28,44,54
"Trump",2018-10-27,43,54
"Trump",2018-10-28,40,53
"Trump",2018-10-29,42.7,51.8
"Trump",2018-10-28,41,51
"Trump",2018-10-29,49,50
"Trump",2018-10-29,40,52
"Trump",2018-10-28,39,57
"Trump",2018-10-30,42,51.8
"Trump",2018-10-29,40,53
"Trump",2018-10-30,49,50
"Trump",2018-10-30,42,53
"Trump",2018-10-31,40,53
"Trump",2018-10-31,42.2,52
"Trump",2018-10-31,51,47
"Trump",2018-10-30,45,55
"Trump",2018-10-30,43,49
"Trump",2018-10-31,46,52
"Trump",2018-10-30,46,54
"Trump",2018-11-01,40,54
"Trump",2018-10-31,41,49
"Trump",2018-11-01,45,54
"Trump",2018-11-01,45,51
"Trump",2018-11-01,41.9,52.4
"Trump",2018-11-02,50,49
"Trump",2018-11-02,39,55
"Trump",2018-11-02,46,52
"Trump",2018-11-02,43.2,51.1
"Trump",2018-11-02,41,51
"Trump",2018-11-02,43,51
"Trump",2018-11-03,48,50
"Trump",2018-11-03,46,51
"Trump",2018-11-03,43,51.1
"Trump",2018-11-03,41,52
"Trump",2018-11-04,45,53
"Trump",2018-11-04,42.3,51.4
"Trump",2018-11-04,41,53
"Trump",2018-11-05,42,52
"Trump",2018-11-05,41,49
"Trump",2018-11-05,45,55
"Trump",2018-11-05,48,50
"Trump",2018-11-06,44,51
"Trump",2018-11-06,48,50
"Trump",2018-11-06,43,52
"Trump",2018-11-06,45,55
"Trump",2018-11-06,48,49
"Trump",2018-11-07,47,53
"Trump",2018-11-07,41.8,53.1
"Trump",2018-11-06,47,50
"Trump",2018-11-07,40,54
"Trump",2018-11-06,44,52
"Trump",2018-11-07,48,50
"Trump",2018-11-07,44,50
"Trump",2018-11-08,49,51
"Trump",2018-11-08,42.1,53.5
"Trump",2018-11-08,45,50
"Trump",2018-11-07,46,52
"Trump",2018-11-08,43,51
"Trump",2018-11-08,46,52
"Trump",2018-11-08,38,56
"Trump",2018-11-09,46,52
"Trump",2018-11-09,43,51
"Trump",2018-11-09,42,52
"Trump",2018-11-09,41.3,54.3
"Trump",2018-11-10,41.5,54.3
"Trump",2018-11-10,46,52
"Trump",2018-11-10,43.5,50.5
"Trump",2018-11-10,49,51
"Trump",2018-11-10,42,56
"Trump",2018-11-10,42,55
"Trump",2018-11-10,41,58
"Trump",2018-11-11,43,49
"Trump",2018-11-11,43,55
"Trump",2018-11-11,44,53
"Trump",2018-11-11,48,52
"Trump",2018-11-10,40,53
"Trump",2018-11-11,43,53
"Trump",2018-11-12,41,51
"Trump",2018-11-11,43,51
"Trump",2018-11-12,46,52
"Trump",2018-11-12,42.9,52.4
"Trump",2018-11-13,48,50
"Trump",2018-11-13,43.3,51.6
"Trump",2018-11-12,41,54
"Trump",2018-11-13,47,53
"Trump",2018-11-13,47,53
"Trump",2018-11-13,41,52
"Trump",2018-11-14,44,51
"Trump",2018-11-13,47,53
"Trump",2018-11-14,49,50
"Trump",2018-11-14,48,52
"Trump",2018-11-14,43.5,54.5
"Trump",2018-11-15,48,52
"Trump",2018-11-15,43,53
"Trump",2018-11-15,43.7,50.9
"Trump",2018-11-15,41,52
"Trump",2018-11-16,44.1,50.8
"Trump",2018-11-16,50,49
"Trump",2018-11-16,37,58
"Trump",2018-11-17,48,52
"Trump",2018-11-17,39,55
"Trump",2018-11-16,41,54
"Trump",2018-11-17,50,49
"Trump",2018-11-17,43.5,51.3
"Trump",2018-11-17,43,51
"Trump",2018-11-18,46,54
"Trump",2018-11-18,43.7,51
"Trump",2018-11-19,44.5,50.4
"Trump",2018-11-18,44,51
"Trump",2018-11-19,42,55
"Trump",2018-11-19,40,49
"Trump",2018-11-19,51,48
"Trump",2018-11-20,43.7,50.8
"Trump",2018-11-20,46,54
"Trump",2018-11-20,47,53
"Trump",2018-11-21,43.8,51.6
"Trump",2018-11-21,47,53
"Trump",2018-11-22,48,52
"Trump",2018-11-22,38,60
"Trump",2018-11-22,44.7,50.7
"Trump",2018-11-23,45.3,49.6
"Trump",2018-11-24,47,53
"Trump",2018-11-24,49,49
"Trump",2018-11-24,43.8,50.8
"Trump",2018-11-25,47,53
"Trump",2018-11-25,43.3,51
"Trump",2018-11-26,43.3,51.1
"Trump",2018-11-26,48,50
"Trump",2018-11-26,43,45
"Trump",2018-11-26,40,53
"Trump",2018-11-27,48,52
"Trump",2018-11-27,43,48
"Trump",2018-11-27,47,51
"Trump",2018-11-26,48,52
"Trump",2018-11-27,42.8,51.8
"Trump",2018-11-28,47,51
"Trump",2018-11-28,41.9,52
"Trump",2018-11-28,49,51
"Trump",2018-11-28,45,54
"Trump",2018-11-28,39,55
"Trump",2018-11-27,46,54
"Trump",2018-11-27,48,52
"Trump",2018-11-29,41.9,52
"Trump",2018-11-29,49,51
"Trump",2018-11-29,40,56
"Trump",2018-11-29,39,55
"Trump",2018-11-29,43.5,50.5
"Trump",2018-11-30,48,50
"Trump",2018-11-30,41.4,52.6
"Trump",2018-12-01,49,51
"Trump",2018-12-01,42,49
"Trump",2018-12-01,42.1,51.9
"Trump",2018-12-01,42,52
"Trump",2018-12-01,48,51
"Trump",2018-12-01,40,53
"Trump",2018-12-02,41,52
"Trump",2018-12-02,42.1,51.6
"Trump",2018-12-02,49,51
"Trump",2018-12-03,50,48
"Trump",2018-12-03,43,48
"Trump",2018-12-02,42,51
"Trump",2018-12-03,41.2,52.7
"Trump",2018-12-04,50,50
"Trump",2018-12-04,43,54
"Trump",2018-12-04,41.8,52.3
"Trump",2018-12-04,49,50
"Trump",2018-12-04,48,52
"Trump",2018-12-05,49,51
"Trump",2018-12-05,43,56
"Trump",2018-12-05,50,49
"Trump",2018-12-05,41,52
"Trump",2018-12-05,41,47
"Trump",2018-12-05,44,50
"Trump",2018-12-05,42.1,52
"Trump",2018-12-06,40,56
"Trump",2018-12-05,39,52
"Trump",2018-12-06,48,52
"Trump",2018-12-06,41.5,52.6
"Trump",2018-12-06,46,52
"Trump",2018-12-07,41.4,52.8
"Trump",2018-12-06,44,53
"Trump",2018-12-07,41,52
"Trump",2018-12-07,48,51
"Trump",2018-12-08,39,52
"Trump",2018-12-08,49,49
"Trump",2018-12-08,43,52
"Trump",2018-12-08,47,53
"Trump",2018-12-08,41,51
"Trump",2018-12-08,43.3,47.4
"Trump",2018-12-08,44,51
"Trump",2018-12-08,42.9,52
"Trump",2018-12-09,48,52
"Trump",2018-12-09,42,51
"Trump",2018-12-08,41,54
"Trump",2018-12-09,43.7,51.8
"Trump",2018-12-10,46,52
"Trump",2018-12-10,48,52
"Trump",2018-12-09,42,53
"Trump",2018-12-10,43,49
"Trump",2018-12-10,48,50
"Trump",2018-12-10,44.3,51.2
"Trump",2018-12-11,49,48
"Trump",2018-12-11,44.2,51.2
"Trump",2018-12-11,43,54
"Trump",2018-12-11,50,50
"Trump",2018-12-11,41,51
"Trump",2018-12-11,42,52
"Trump",2018-12-12,48,51
"Trump",2018-12-11,49,51
"Trump",2018-12-12,48,50
"Trump",2018-12-12,50,50
"Trump",2018-12-12,45,50.8
"Trump",2018-12-13,38,57
"Trump",2018-12-13,49,51
"Trump",2018-12-13,42,52
"Trump",2018-12-13,45.8,50.4
"Trump",2018-12-13,40,51
"Trump",2018-12-13,40,54
"Trump",2018-12-14,44.3,51.8
"Trump",2018-12-14,44,54
"Trump",2018-12-14,47,51
"Trump",2018-12-13,42.1,53.8
"Trump",2018-12-15,48,52
"Trump",2018-12-14,39,52
"Trump",2018-12-15,46,53
"Trump",2018-12-15,43,53
"Trump",2018-12-15,43.2,52.6
"Trump",2018-12-15,41,55
"Trump",2018-12-15,42,56
"Trump",2018-12-15,42,53
"Trump",2018-12-16,47,53
"Trump",2018-12-16,42,52
"Trump",2018-12-16,42.5,53
"Trump",2018-12-17,41,50
"Trump",2018-12-17,47,52
"Trump",2018-12-16,38,55
"Trump",2018-12-17,42.7,52.7
"Trump",2018-12-16,41,51
"Trump",2018-12-18,42.7,53.1
"Trump",2018-12-18,48,51
"Trump",2018-12-18,41.5,51
"Trump",2018-12-19,48,52
"Trump",2018-12-19,40,57
"Trump",2018-12-19,42,53.2
"Trump",2018-12-18,48,52
"Trump",2018-12-19,49,50
"Trump",2018-12-19,39,55
"Trump",2018-12-20,41.7,53.4
"Trump",2018-12-20,47,53
"Trump",2018-12-19,42,52
"Trump",2018-12-21,42.3,52.7
"Trump",2018-12-21,40,54
"Trump",2018-12-21,46,52
"Trump",2018-12-22,39,52
"Trump",2018-12-22,47,53
"Trump",2018-12-22,41.5,53.3
"Trump",2018-12-22,43,51
"Trump",2018-12-22,39,56
"Trump",2018-12-23,40.7,54.2
"Trump",2018-12-22,38,53
"Trump",2018-12-23,41,53
"Trump",2018-12-24,43,50
"Trump",2018-12-24,40.8,54.3
"Trump",2018-12-25,40.8,53.8
"Trump",2018-12-24,44,56
"Trump",2018-12-25,47,52
"Trump",2018-12-26,41,51
"Trump",2018-12-26,41,53
"Trump",2018-12-25,45,55
"Trump",2018-12-26,47,52
"Trump",2018-12-26,40.4,54.2
"Trump",2018-12-27,45,55
"Trump",2018-12-26,46,54
"Trump",2018-12-27,40.1,54.3
"Trump",2018-12-27,39,50
"Trump",2018-12-28,40.1,54.4
"Trump",2018-12-28,40,53
"Trump",2018-12-29,40,52
"Trump",2018-12-29,41,54
"Trump",2018-12-30,42,51
"Trump",2018-12-30,39.6,56.1
"Trump",2018-12-30,45,55
"Trump",2018-12-31,40.2,55.6
"Trump",2018-12-31,41,51.5
"Trump",2019-01-01,43,50
"Trump",2019-01-01,47,51
"Trump",2019-01-01,38.9,56.7
"Trump",2019-01-01,46,54
"Trump",2019-01-02,47,53
"Trump",2019-01-02,46,54
"Trump",2019-01-02,38.9,56.4
"Trump",2019-01-01,42,52
"Trump",2019-01-02,46,53
"Trump",2019-01-03,47,53
"Trump",2019-01-02,41,52
"Trump",2019-01-03,38.5,56.5
"Trump",2019-01-04,48,52
"Trump",2019-01-04,40,55.1
"Trump",2019-01-03,43,52
"Trump",2019-01-04,41,53
"Trump",2019-01-04,41,53
"Trump",2019-01-04,46,53
"Trump",2019-01-05,46,53
"Trump",2019-01-05,44,50
"Trump",2019-01-05,40,55.1
"Trump",2019-01-05,47,53
"Trump",2019-01-05,43,52
"Trump",2019-01-06,46,54
"Trump",2019-01-06,37,59
"Trump",2019-01-06,41.3,53.3
"Trump",2019-01-06,40,54
"Trump",2019-01-07,40,51
"Trump",2019-01-07,41.2,53.7
"Trump",2019-01-07,44,56
"Trump",2019-01-07,42,54
"Trump",2019-01-06,40,54
"Trump",2019-01-07,47,52
"Trump",2019-01-08,41.9,53.5
"Trump",2019-01-08,44,56
"Trump",2019-01-08,45,53
"Trump",2019-01-08,45,55
"Trump",2019-01-08,40,53
"Trump",2019-01-08,40,54
"Trump",2019-01-09,41.4,54.3
"Trump",2019-01-09,45,54
"Trump",2019-01-09,44,56
"Trump",2019-01-09,40,54
"Trump",2019-01-09,42,56
"Trump",2019-01-10,41.8,53.9
"Trump",2019-01-10,44,55
"Trump",2019-01-10,44,56
"Trump",2019-01-09,42,55
"Trump",2019-01-11,43,55
"Trump",2019-01-11,41,55
"Trump",2019-01-10,45,55
"Trump",2019-01-10,37,57
"Trump",2019-01-11,46,54
"Trump",2019-01-11,41,55
"Trump",2019-01-10,42,53
"Trump",2019-01-10,41.5,51
"Trump",2019-01-12,46,54
"Trump",2019-01-12,42,52
"Trump",2019-01-12,43,55
"Trump",2019-01-12,40.9,55.1
"Trump",2019-01-12,38,58
"Trump",2019-01-11,38,59
"Trump",2019-01-12,39,53
"Trump",2019-01-11,37,59
"Trump",2019-01-12,40,54
"Trump",2019-01-12,37,55
"Trump",2019-01-13,45,55
"Trump",2019-01-13,42,54
"Trump",2019-01-13,40.8,55.6
"Trump",2019-01-14,43,55
"Trump",2019-01-14,41,53
"Trump",2019-01-14,39,52
"Trump",2019-01-14,43,57
"Trump",2019-01-14,40.7,55.4
"Trump",2019-01-15,44,55
"Trump",2019-01-15,44,56
"Trump",2019-01-15,42,58
"Trump",2019-01-15,40,53
"Trump",2019-01-14,42,55
"Trump",2019-01-15,40.6,55.5
"Trump",2019-01-15,39,56
"Trump",2019-01-15,45,55
"Trump",2019-01-15,37,55
"Trump",2019-01-16,42,55
"Trump",2019-01-16,41.4,54.4
"Trump",2019-01-16,44,55
"Trump",2019-01-16,42,58
"Trump",2019-01-17,44,56
"Trump",2019-01-16,39,55
"Trump",2019-01-17,40.6,55.1
"Trump",2019-01-17,42,56
"Trump",2019-01-18,40.5,55
"Trump",2019-01-18,43,57
"Trump",2019-01-18,44,56
"Trump",2019-01-18,40,55
"Trump",2019-01-17,38,55
"Trump",2019-01-18,34,65
"Trump",2019-01-19,43,57
"Trump",2019-01-19,38,54
"Trump",2019-01-19,41,54
"Trump",2019-01-19,40.5,54.8
"Trump",2019-01-19,44,56
"Trump",2019-01-19,41,56
"Trump",2019-01-19,40,55
"Trump",2019-01-20,43,57
"Trump",2019-01-20,40,57
"Trump",2019-01-20,39.8,55.7
"Trump",2019-01-20,40,57
"Trump",2019-01-20,44,56
"Trump",2019-01-20,36,59
"Trump",2019-01-21,39.3,56.3
"Trump",2019-01-21,43,54
"Trump",2019-01-21,44,56
"Trump",2019-01-20,38,54
"Trump",2019-01-20,41.5,51.5
"Trump",2019-01-21,44,56
"Trump",2019-01-21,40,52
"Trump",2019-01-22,44,56
"Trump",2019-01-21,44,56
"Trump",2019-01-22,43,54
"Trump",2019-01-22,43,57
"Trump",2019-01-22,44,55
"Trump",2019-01-21,40,54
"Trump",2019-01-22,38.9,56.8
"Trump",2019-01-23,43,57
"Trump",2019-01-23,39,57.3
"Trump",2019-01-23,37,58
"Trump",2019-01-23,45,54
"Trump",2019-01-22,39,54
"Trump",2019-01-24,38.9,56.9
"Trump",2019-01-24,37,59
"Trump",2019-01-23,41,54
"Trump",2019-01-24,42,58
"Trump",2019-01-24,39,54
"Trump",2019-01-25,45,54
"Trump",2019-01-24,37,56
"Trump",2019-01-25,42,58
"Trump",2019-01-25,39.3,56.6
"Trump",2019-01-26,40,55
"Trump",2019-01-26,39.3,56.6
"Trump",2019-01-26,45,54
"Trump",2019-01-26,40,55
"Trump",2019-01-26,41,54
"Trump",2019-01-26,43,57
"Trump",2019-01-26,40,55
"Trump",2019-01-26,39,55
"Trump",2019-01-27,38,57
"Trump",2019-01-27,38.5,57
"Trump",2019-01-27,44,56
"Trump",2019-01-28,39,57
"Trump",2019-01-28,43,56
"Trump",2019-01-28,37,53
"Trump",2019-01-28,39.1,56.6
"Trump",2019-01-28,44,56
"Trump",2019-01-27,42,52
"Trump",2019-01-29,43,57
"Trump",2019-01-28,41,51
"Trump",2019-01-29,39.3,56.5
"Trump",2019-01-29,44,56
"Trump",2019-01-29,43,56
"Trump",2019-01-30,44,56
"Trump",2019-01-29,39,56
"Trump",2019-01-30,39.2,56.3
"Trump",2019-01-30,43,57
"Trump",2019-01-31,39.9,56
"Trump",2019-01-31,44,56
"Trump",2019-01-30,41,52
"Trump",2019-02-01,45,54
"Trump",2019-02-01,40,55
"Trump",2019-01-31,41,53
"Trump",2019-02-01,39.1,56.6
"Trump",2019-02-01,45,55
"Trump",2019-02-01,40,54
"Trump",2019-02-02,44,56
"Trump",2019-02-02,48,51
"Trump",2019-02-02,38,57
"Trump",2019-02-01,41,56
"Trump",2019-02-03,44,56
"Trump",2019-02-02,38,54
"Trump",2019-02-03,37,54
"Trump",2019-02-04,44,56
"Trump",2019-02-04,48,51
"Trump",2019-02-04,40,52
"Trump",2019-02-05,45,55
"Trump",2019-02-04,40,52
"Trump",2019-02-05,49,50
"Trump",2019-02-06,44,56
"Trump",2019-02-05,41,52
"Trump",2017-01-21,45,45
"Trump",2017-01-22,45,46
"Trump",2017-01-22,42.1,45.2
"Trump",2017-01-23,42.3,45.8
"Trump",2017-01-23,46,45
"Trump",2017-01-24,41,35
"Trump",2017-01-24,42.6,46.4
"Trump",2017-01-24,46,45
"Trump",2017-01-25,45,48
"Trump",2017-01-25,44.5,45.5
"Trump",2017-01-26,45.4,46
"Trump",2017-01-26,42,50
"Trump",2017-01-27,42,51
"Trump",2017-01-27,48.2,45.1
"Trump",2017-01-28,43,50
"Trump",2017-01-28,46.8,45.8
"Trump",2017-01-28,48,50
"Trump",2017-01-29,43,51
"Trump",2017-01-29,45.3,46.9
"Trump",2017-01-30,45,47.9
"Trump",2017-01-30,43,44
"Trump",2017-01-30,43,52
"Trump",2017-01-30,42,48
"Trump",2017-01-31,43,52
"Trump",2017-01-31,45.3,47.4
"Trump",2017-02-01,44,53
"Trump",2017-02-01,43,52
"Trump",2017-02-01,44.9,47.7
"Trump",2017-02-01,40,48
"Trump",2017-02-02,44,50
"Trump",2017-02-02,45.2,47.7
"Trump",2017-02-02,46,52
"Trump",2017-02-03,48,43
"Trump",2017-02-03,42,53
"Trump",2017-02-03,47.5,46.8
"Trump",2017-02-04,47.1,47.5
"Trump",2017-02-04,42,52
"Trump",2017-02-05,47.5,47.6
"Trump",2017-02-05,42,54
"Trump",2017-02-06,43,52
"Trump",2017-02-06,41,48
"Trump",2017-02-06,47.5,47.6
"Trump",2017-02-07,47.8,46.4
"Trump",2017-02-07,43,52
"Trump",2017-02-08,42,52
"Trump",2017-02-08,46.7,47.6
"Trump",2017-02-09,46.7,47.5
"Trump",2017-02-09,46,53
"Trump",2017-02-09,41,53
"Trump",2017-02-10,46.3,48.4
"Trump",2017-02-10,40,55
"Trump",2017-02-09,39,56
"Trump",2017-02-11,40,54
"Trump",2017-02-11,46.3,48.5
"Trump",2017-02-12,45.3,50.6
"Trump",2017-02-12,40,54
"Trump",2017-02-13,40,53
"Trump",2017-02-13,43,47
"Trump",2017-02-13,45.8,50.4
"Trump",2017-02-14,40,54
"Trump",2017-02-14,45.9,50.2
"Trump",2017-02-15,38,56
"Trump",2017-02-15,45.1,51.1
"Trump",2017-02-15,45,53
"Trump",2017-02-16,44.3,52.1
"Trump",2017-02-16,40,55
"Trump",2017-02-16,43,54
"Trump",2017-02-16,41,52
"Trump",2017-02-17,41,55
"Trump",2017-02-17,39,50
"Trump",2017-02-17,45.3,50.5
"Trump",2017-02-17,41,47
"Trump",2017-02-18,45.5,49.9
"Trump",2017-02-18,42,53
"Trump",2017-02-19,45.1,50
"Trump",2017-02-19,41,53
"Trump",2017-02-19,39,51
"Trump",2017-02-19,43,51
"Trump",2017-02-20,46,47.1
"Trump",2017-02-20,43,46
"Trump",2017-02-20,44,48
"Trump",2017-02-20,42,52
"Trump",2017-02-20,44,54
"Trump",2017-02-21,45.8,47.3
"Trump",2017-02-21,43,52
"Trump",2017-02-22,45.1,48
"Trump",2017-02-22,43,52
"Trump",2017-02-23,45.1,47.9
"Trump",2017-02-23,41,53
"Trump",2017-02-24,41,54
"Trump",2017-02-24,45.6,48.2
"Trump",2017-02-25,46.1,48.3
"Trump",2017-02-25,42,54
"Trump",2017-02-26,46.1,48.4
"Trump",2017-02-26,42,54
"Trump",2017-02-27,43,52
"Trump",2017-02-27,45.7,49.2
"Trump",2017-02-27,41,50
"Trump",2017-02-27,45,53
"Trump",2017-02-28,41,53
"Trump",2017-02-28,45.8,48.8
"Trump",2017-02-28,43,51
"Trump",2017-03-01,43,51
"Trump",2017-03-01,45.6,48.7
